gen,BASIS_RR,BASIS_D,REB_DUTY,feasible
20,0.838544,10.3275,1e+10,0
20,0.838544,10.3275,1e+10,0
20,0.838544,10.3275,1e+10,0
20,0.919448,10.3313,1e+10,0
20,0.837536,10.1668,1e+10,0
20,0.91844,10.1668,1e+10,0
20,0.91844,10.1668,1e+10,0
20,0.91844,10.1705,1e+10,0
20,0.91844,10.1705,1e+10,0
20,0.91844,10.1705,1e+10,0
20,0.91844,10.1705,1e+10,0
